"Gene_id","Gene_name","Gene_type","Chromosome","Gene_start","Gene_end","Gene_age"
"ENSG00000157873","TNFRSF14","protein_coding","1",2555639,2565382,9
"ENSG00000157870","FAM213B","protein_coding","1",2586491,2591469,2
"ENSG00000142606","MMEL1","protein_coding","1",2590639,2632990,1
"ENSG00000215912","TTC34","protein_coding","1",2635976,2801717,12
"ENSG00000169717","ACTRT2","protein_coding","1",3021483,3022903,15
"ENSG00000142611","PRDM16","protein_coding","1",3069168,3438621,7
"ENSG00000130762","ARHGEF16","protein_coding","1",3454426,3481113,12
"ENSG00000162591","MEGF6","protein_coding","1",3489920,3611495,1
"ENSG00000207776","MIR551A","miRNA","1",3560695,3560790,15
"ENSG00000158109","TPRG1L","protein_coding","1",3625002,3630127,6
"ENSG00000116213","WRAP73","protein_coding","1",3630767,3652761,1
"ENSG00000078900","TP73","protein_coding","1",3652520,3736201,4
"ENSG00000162592","CCDC27","protein_coding","1",3746460,3771645,17
"ENSG00000235169","SMIM1","protein_coding","1",3772761,3775982,18
"ENSG00000130764","LRRC47","protein_coding","1",3778558,3796504,6
"ENSG00000266075","RN7SL574P","misc_RNA","1",3782815,3783111,19
"ENSG00000116198","CEP104","protein_coding","1",3812081,3857214,1
"ENSG00000169598","DFFB","protein_coding","1",3857267,3885429,6
"ENSG00000198912","C1orf174","protein_coding","1",3889125,3900293,12
"ENSG00000196581","AJAP1","protein_coding","1",4654732,4792534,13
"ENSG00000131697","NPHP4","protein_coding","1",5862811,5992473,4
"ENSG00000069424","KCNAB2","protein_coding","1",5991466,6101193,1
"ENSG00000116254","CHD5","protein_coding","1",6101793,6180123,12
"ENSG00000116251","RPL22","protein_coding","1",6181269,6209389,1
"ENSG00000158286","RNF207","protein_coding","1",6205475,6221299,7
"ENSG00000116237","ICMT","protein_coding","1",6221193,6235972,1
"ENSG00000173673","HES3","protein_coding","1",6244192,6245578,17
"ENSG00000158292","GPR153","protein_coding","1",6247346,6260975,12
"ENSG00000097021","ACOT7","protein_coding","1",6264269,6394391,1
"ENSG00000069812","HES2","protein_coding","1",6412418,6424670,12
"ENSG00000187017","ESPN","protein_coding","1",6424776,6461367,6
"ENSG00000215788","TNFRSF25","protein_coding","1",6461151,6466195,15
"ENSG00000171680","PLEKHG5","protein_coding","1",6466092,6520061,6
"ENSG00000162408","NOL9","protein_coding","1",6521347,6554535,1
"ENSG00000253022","RNU6-731P","snRNA","1",6540854,6540964,14
"ENSG00000173662","TAS1R1","protein_coding","1",6555181,6579757,12
"ENSG00000204859","ZBTB48","protein_coding","1",6580001,6589280,12
"ENSG00000162413","KLHL21","protein_coding","1",6590724,6614607,9
"ENSG00000116273","PHF13","protein_coding","1",6613685,6624033,6
"ENSG00000041988","THAP3","protein_coding","1",6624866,6635586,12
"ENSG00000007923","DNAJC11","protein_coding","1",6634168,6701924,1
"ENSG00000171735","CAMTA1","protein_coding","1",6785324,7769706,2
"ENSG00000207056","RNU1-8P","snRNA","1",7219360,7219524,15
"ENSG00000049245","VAMP3","protein_coding","1",7771269,7781432,1
"ENSG00000049246","PER3","protein_coding","1",7784320,7845177,7
"ENSG00000049247","UTS2","protein_coding","1",7843083,7853512,14
"ENSG00000049249","TNFRSF9","protein_coding","1",7915894,7943165,14
"ENSG00000116288","PARK7","protein_coding","1",7954291,7985505,1
"ENSG00000116285","ERRFI1","protein_coding","1",8004404,8026308,12
"ENSG00000200975","RNU1-7P","snRNA","1",8206434,8206597,16
"ENSG00000251977","RNU6-991P","snRNA","1",8292157,8292263,15
"ENSG00000162426","SLC45A1","protein_coding","1",8317826,8344167,1
"ENSG00000142599","RERE","protein_coding","1",8352397,8817643,6
"ENSG00000074800","ENO1","protein_coding","1",8861000,8879250,1
"ENSG00000201725","RNU6-304P","snRNA","1",8883427,8883533,13
"ENSG00000131686","CA6","protein_coding","1",8945867,8975092,12
"ENSG00000265141","RN7SL451P","misc_RNA","1",8979576,8979874,19
"ENSG00000197241","SLC2A7","protein_coding","1",9003300,9026345,1
"ENSG00000142583","SLC2A5","protein_coding","1",9035107,9088478,1
"ENSG00000180758","GPR157","protein_coding","1",9100305,9129170,6
"ENSG00000049239","H6PD","protein_coding","1",9234775,9271337,1
"ENSG00000171621","SPSB1","protein_coding","1",9292880,9369532,6
"ENSG00000252956","RNA5SP40","rRNA","1",9437669,9437778,16
"ENSG00000171612","SLC25A33","protein_coding","1",9539482,9585179,12
"ENSG00000188807","TMEM201","protein_coding","1",9588922,9614873,12
"ENSG00000171608","PIK3CD","protein_coding","1",9651732,9729114,1
"ENSG00000179840","PIK3CD-AS1","antisense","1",9652610,9654586,19
"ENSG00000171603","CLSTN1","protein_coding","1",9729026,9824526,6
"ENSG00000178585","CTNNBIP1","protein_coding","1",9848276,9910336,12
"ENSG00000162441","LZIC","protein_coding","1",9922113,9943407,1
"ENSG00000173614","NMNAT1","protein_coding","1",9943428,9985501,1
"ENSG00000202415","RN7SKP269","misc_RNA","1",9947318,9947636,14
"ENSG00000162444","RBP7","protein_coding","1",9997206,10016020,12
"ENSG00000130939","UBE4B","protein_coding","1",10032832,10181239,1
"ENSG00000201746","RNU6-828P","snRNA","1",10163268,10163374,15
"ENSG00000054523","KIF1B","protein_coding","1",10210805,10381603,3
"ENSG00000264881","MIR1273D","miRNA","1",10227718,10227803,19
"ENSG00000199562","RNU6-37P","snRNA","1",10298966,10299072,16
"ENSG00000264501","RN7SL731P","misc_RNA","1",10306465,10306757,16
"ENSG00000142657","PGD","protein_coding","1",10398592,10420144,1
"ENSG00000251503","CENPS-CORT","protein_coding","1",10430102,10452153,13
"ENSG00000175279","CENPS","protein_coding","1",10430443,10442809,2
"ENSG00000241563","CORT","protein_coding","1",10449719,10451902,15
"ENSG00000160049","DFFA","protein_coding","1",10456522,10472526,6
"ENSG00000142655","PEX14","protein_coding","1",10472288,10630758,3
"ENSG00000243267","RN7SL614P","misc_RNA","1",10616836,10617115,19
"ENSG00000130940","CASZ1","protein_coding","1",10636604,10796650,7
"ENSG00000175262","C1orf127","protein_coding","1",10946471,10982037,19
"ENSG00000120948","TARDBP","protein_coding","1",11012344,11026420,6
"ENSG00000009724","MASP2","protein_coding","1",11026523,11047233,6
"ENSG00000116649","SRM","protein_coding","1",11054584,11060024,1
"ENSG00000171824","EXOSC10","protein_coding","1",11066618,11099881,1
"ENSG00000198793","MTOR","protein_coding","1",11106535,11262507,1
"ENSG00000253086","RNU6-537P","snRNA","1",11152350,11152452,16
"ENSG00000171819","ANGPTL7","protein_coding","1",11189341,11195981,12
"ENSG00000207451","RNU6-291P","snRNA","1",11226254,11226360,17
"ENSG00000120942","UBIAD1","protein_coding","1",11273206,11296049,1
"ENSG00000204624","DISP3","protein_coding","1",11479166,11537584,1
"ENSG00000116661","FBXO2","protein_coding","1",11637018,11655785,2
"ENSG00000132879","FBXO44","protein_coding","1",11654375,11663327,7
"ENSG00000116663","FBXO6","protein_coding","1",11664124,11674354,7
"ENSG00000116670","MAD2L2","protein_coding","1",11674480,11691650,2
"ENSG00000162490","DRAXIN","protein_coding","1",11691729,11725857,12
"ENSG00000177674","AGTRAP","protein_coding","1",11736084,11754802,7
"ENSG00000215910","C1orf167","protein_coding","1",11761787,11789585,17
"ENSG00000177000","MTHFR","protein_coding","1",11785723,11806920,1
"ENSG00000011021","CLCN6","protein_coding","1",11806096,11843144,1
"ENSG00000175206","NPPA","protein_coding","1",11845709,11848345,15
"ENSG00000120937","NPPB","protein_coding","1",11857464,11858931,17
"ENSG00000199347","RNU5E-1","snRNA","1",11908152,11908271,15
"ENSG00000201801","RNU5E-4P","snRNA","1",11909808,11909927,14
"ENSG00000116685","KIAA2013","protein_coding","1",11919591,11926428,7
"ENSG00000083444","PLOD1","protein_coding","1",11934205,11975538,12
"ENSG00000116688","MFN2","protein_coding","1",11980181,12013514,4
"ENSG00000116691","MIIP","protein_coding","1",12019466,12032045,6
"ENSG00000243539","RN7SL649P","misc_RNA","1",12036740,12037014,19
"ENSG00000120949","TNFRSF8","protein_coding","1",12063377,12144207,14
"ENSG00000201135","RNU6-777P","snRNA","1",12077881,12077984,16
"ENSG00000028137","TNFRSF1B","protein_coding","1",12167003,12209228,15
"ENSG00000048707","VPS13D","protein_coding","1",12230032,12512047,1
"ENSG00000239149","SNORA59A","snoRNA","1",12507246,12507397,15
"ENSG00000162496","DHRS3","protein_coding","1",12567910,12617731,1
"ENSG00000221340","RNU6ATAC18P","snRNA","1",12569972,12570072,11
"ENSG00000204518","AADACL4","protein_coding","1",12644547,12667086,1
"ENSG00000188984","AADACL3","protein_coding","1",12716115,12728759,1
"ENSG00000157330","C1orf158","protein_coding","1",12746215,12763699,6
"ENSG00000116726","PRAMEF12","protein_coding","1",12774841,12777906,17
"ENSG00000116721","PRAMEF1","protein_coding","1",12791397,12796628,19
"ENSG00000239810","PRAMEF11","protein_coding","1",12824605,12831410,19
"ENSG00000179172","HNRNPCL1","protein_coding","1",12847408,12848725,19
"ENSG00000120952","PRAMEF2","protein_coding","1",12857086,12861909,19
"ENSG00000243073","PRAMEF4","protein_coding","1",12879224,12886201,17
"ENSG00000187545","PRAMEF10","protein_coding","1",12892896,12898270,19
"ENSG00000204510","PRAMEF7","protein_coding","1",12916610,12920482,17
"ENSG00000207434","RNU6-1072P","snRNA","1",12922554,12922660,14
"ENSG00000232423","PRAMEF6","protein_coding","1",12938472,12947580,18
"ENSG00000274178","PRAMEF28P","unprocessed_pseudogene","1",13029339,13032130,19
"ENSG00000274764","PRAMEF27","protein_coding","1",13049476,13056491,15
"ENSG00000277058","HNRNPCL3","protein_coding","1",13060869,13062229,13
"ENSG00000229571","PRAMEF25","protein_coding","1",13068677,13077884,19
"ENSG00000275774","HNRNPCL2","protein_coding","1",13115496,13116854,7
"ENSG00000280267","PRAMEF26","protein_coding","1",13148905,13155961,13
"ENSG00000179412","HNRNPCL4","protein_coding","1",13164586,13165467,13
"ENSG00000204505","PRAMEF9","protein_coding","1",13172455,13179464,17
"ENSG00000279169","PRAMEF13","protein_coding","1",13196330,13201409,18
"ENSG00000279804","PRAMEF18","protein_coding","1",13222705,13226106,19
"ENSG00000270601","PRAMEF5","protein_coding","1",13254212,13263314,17
"ENSG00000207511","RNU6-771P","snRNA","1",13279125,13279231,14
"ENSG00000182330","PRAMEF8","protein_coding","1",13281035,13285174,18
"ENSG00000237700","PRAMEF33","protein_coding","1",13303539,13308907,15
"ENSG00000204501","PRAMEF15","protein_coding","1",13315581,13322598,17
"ENSG00000204481","PRAMEF14","protein_coding","1",13342034,13347134,18
"ENSG00000204480","PRAMEF19","protein_coding","1",13369067,13371693,18
"ENSG00000204479","PRAMEF17","protein_coding","1",13389632,13392629,19
"ENSG00000204478","PRAMEF20","protein_coding","1",13410450,13421328,19
"ENSG00000162494","LRRC38","protein_coding","1",13474977,13514048,12
"ENSG00000162493","PDPN","protein_coding","1",13583465,13617957,15
"ENSG00000222952","RNA5SP41","rRNA","1",13623184,13623284,18
"ENSG00000116731","PRDM2","protein_coding","1",13700198,13825079,9
"ENSG00000189337","KAZN","protein_coding","1",13892792,15118043,7
"ENSG00000252151","RNU6-1265P","snRNA","1",14124233,14124335,16
"ENSG00000171729","TMEM51","protein_coding","1",15152532,15220480,12
"ENSG00000204464","C1orf195","lincRNA","1",15164344,15171317,19
"ENSG00000142621","FHAD1","protein_coding","1",15247272,15400283,6
"ENSG00000142634","EFHD2","protein_coding","1",15409895,15430343,4
"ENSG00000162438","CTRC","protein_coding","1",15438439,15449242,15
"ENSG00000142615","CELA2A","protein_coding","1",15456728,15472091,7
"ENSG00000215704","CELA2B","protein_coding","1",15465909,15491400,19
"ENSG00000132906","CASP9","protein_coding","1",15490832,15526534,9
"ENSG00000116138","DNAJC16","protein_coding","1",15526813,15592379,1
"ENSG00000251866","SCARNA21B","scaRNA","1",15542165,15542304,15
"ENSG00000116771","AGMAT","protein_coding","1",15572353,15585110,1
"ENSG00000252417","RNU7-179P","snRNA","1",15608078,15608145,12
"ENSG00000197312","DDI2","protein_coding","1",15617500,15669044,1
"ENSG00000215695","RSC1A1","protein_coding","1",15659869,15661722,15
"ENSG00000116786","PLEKHM2","protein_coding","1",15684332,15734769,6
"ENSG00000162461","SLC25A34","protein_coding","1",15736405,15741396,1
"ENSG00000162460","TMEM82","protein_coding","1",15742422,15747982,12
"ENSG00000162458","FBLIM1","protein_coding","1",15756607,15786594,12
"ENSG00000233954","UQCRHL","protein_coding","1",15807169,15809348,18
"ENSG00000065526","SPEN","protein_coding","1",15847864,15940460,7
"ENSG00000116809","ZBTB17","protein_coding","1",15941869,15976132,12
"ENSG00000183888","SRARP","protein_coding","1",16004236,16008807,17
"ENSG00000173641","HSPB7","protein_coding","1",16014028,16019594,12
"ENSG00000186510","CLCNKA","protein_coding","1",16018875,16034050,1
"ENSG00000184908","CLCNKB","protein_coding","1",16043736,16057308,1
"ENSG00000185519","FAM131C","protein_coding","1",16057769,16073632,12
"ENSG00000142627","EPHA2","protein_coding","1",16124337,16156087,12
"ENSG00000142632","ARHGEF19","protein_coding","1",16197854,16212609,12
"ENSG00000037637","FBXO42","protein_coding","1",16246839,16352454,3
"ENSG00000055070","SZRD1","protein_coding","1",16352575,16398145,6
"ENSG00000187144","SPATA21","protein_coding","1",16387117,16437424,10
"ENSG00000157191","NECAP2","protein_coding","1",16440672,16460078,1
"ENSG00000080947","CROCCP3","transcribed_unprocessed_pseudogene","1",16467436,16499257,11
"ENSG00000206652","RNU1-1","snRNA","1",16514122,16514285,17
"ENSG00000233421","LINC01783","lincRNA","1",16533886,16536172,10
"ENSG00000277344","RNU1-6P","snRNA","1",16534081,16534224,14
"ENSG00000219481","NBPF1","protein_coding","1",16562319,16613562,17
"ENSG00000215908","CROCCP2","transcribed_unprocessed_pseudogene","1",16618253,16657232,7
"ENSG00000207513","RNU1-3","snRNA","1",16666785,16666948,17
"ENSG00000058453","CROCC","protein_coding","1",16740273,16972979,7
"ENSG00000207389","RNU1-4","snRNA","1",16740516,16740679,17
"ENSG00000186715","MST1L","transcribed_unprocessed_pseudogene","1",16754910,16770237,12
"ENSG00000277234","RNU1-5P","snRNA","1",16873708,16873851,14
"ENSG00000207005","RNU1-2","snRNA","1",16895980,16896143,17
"ENSG00000117122","MFAP2","protein_coding","1",16974502,16980835,12
"ENSG00000159363","ATP13A2","protein_coding","1",16985958,17011928,2
"ENSG00000117118","SDHB","protein_coding","1",17018722,17054170,1
"ENSG00000117115","PADI2","protein_coding","1",17066761,17119435,3
"ENSG00000142623","PADI1","protein_coding","1",17205126,17246005,3
"ENSG00000142619","PADI3","protein_coding","1",17249098,17284233,3
"ENSG00000159339","PADI4","protein_coding","1",17308195,17364004,15
"ENSG00000276747","PADI6","protein_coding","1",17372196,17401699,17
"ENSG00000179051","RCC2","protein_coding","1",17406760,17439724,2
"ENSG00000074964","ARHGEF10L","protein_coding","1",17539835,17697874,7
"ENSG00000117148","ACTL8","protein_coding","1",17755313,17827063,17
"ENSG00000117154","IGSF21","protein_coding","1",18107746,18378483,12
"ENSG00000179023","KLHDC7A","protein_coding","1",18480982,18486126,12
"ENSG00000009709","PAX7","protein_coding","1",18631006,18748866,6
"ENSG00000179002","TAS1R2","protein_coding","1",18839599,18859682,15
"ENSG00000159423","ALDH4A1","protein_coding","1",18871430,18902781,1
"ENSG00000169991","IFFO2","protein_coding","1",18904281,18956686,12
"ENSG00000127481","UBR4","protein_coding","1",19074506,19210276,2
"ENSG00000127463","EMC1","protein_coding","1",19215664,19251552,1
"ENSG00000053372","MRTO4","protein_coding","1",19251539,19260128,1
"ENSG00000211454","AKR7L","polymorphic_pseudogene","1",19265982,19274194,2
"ENSG00000162482","AKR7A3","protein_coding","1",19282558,19289250,2
"ENSG00000053371","AKR7A2","protein_coding","1",19303965,19312146,2
"ENSG00000200403","RNU6-1099P","snRNA","1",19305076,19305182,14
"ENSG00000040487","PQLC2","protein_coding","1",19312326,19329300,1
"ENSG00000077549","CAPZB","protein_coding","1",19338776,19485539,1
"ENSG00000240490","RN7SL277P","misc_RNA","1",19424384,19424671,18
"ENSG00000201609","RNU4-28P","snRNA","1",19510593,19510733,13
"ENSG00000173436","MINOS1","protein_coding","1",19596977,19629821,3
"ENSG00000158747","NBL1","protein_coding","1",19596979,19658456,7
"ENSG00000270136","MINOS1-NBL1","protein_coding","1",19597067,19656927,13
"ENSG00000158748","HTR6","protein_coding","1",19665287,19679562,9
"ENSG00000162542","TMCO4","protein_coding","1",19682213,19799945,1
"ENSG00000178828","RNF186","protein_coding","1",19814029,19815278,15
"ENSG00000169914","OTUD3","protein_coding","1",19882513,19912945,2
"ENSG00000188784","PLA2G2E","protein_coding","1",19920009,19923617,6
"ENSG00000242688","RN7SL304P","misc_RNA","1",19970969,19971269,19
"ENSG00000188257","PLA2G2A","protein_coding","1",19975431,19980416,6
"ENSG00000127472","PLA2G5","protein_coding","1",20028179,20091190,17
"ENSG00000117215","PLA2G2D","protein_coding","1",20111939,20119566,15
"ENSG00000158786","PLA2G2F","protein_coding","1",20139326,20150386,15
"ENSG00000187980","PLA2G2C","protein_coding","1",20161253,20177424,15
"ENSG00000162543","UBXN10","protein_coding","1",20186085,20196048,6
"ENSG00000158816","VWA5B1","protein_coding","1",20290919,20354894,1
"ENSG00000162545","CAMK2N1","protein_coding","1",20482391,20486220,12
"ENSG00000090432","MUL1","protein_coding","1",20499448,20508161,2
"ENSG00000183114","FAM43B","protein_coding","1",20552439,20555010,7
"ENSG00000158825","CDA","protein_coding","1",20588948,20618908,1
"ENSG00000158828","PINK1","protein_coding","1",20633455,20651511,6
"ENSG00000284005","MIR6084","miRNA","1",20633679,20633788,19
"ENSG00000244038","DDOST","protein_coding","1",20651767,20661544,1
"ENSG00000117245","KIF17","protein_coding","1",20664014,20718017,1
"ENSG00000189410","SH2D5","protein_coding","1",20719732,20732837,12
"ENSG00000127483","HP1BP3","protein_coding","1",20742661,20787323,12
"ENSG00000075151","EIF4G3","protein_coding","1",20806292,21176888,1
"ENSG00000251914","RNU7-200P","snRNA","1",20841241,20841302,16
"ENSG00000117298","ECE1","protein_coding","1",21217247,21345504,1
"ENSG00000142794","NBPF3","protein_coding","1",21440128,21485005,19
"ENSG00000162551","ALPL","protein_coding","1",21509372,21578412,1
"ENSG00000076864","RAP1GAP","protein_coding","1",21596215,21669363,3
"ENSG00000090686","USP48","protein_coding","1",21678298,21783606,1
"ENSG00000187942","LDLRAD2","protein_coding","1",21812265,21825221,9
"ENSG00000142798","HSPG2","protein_coding","1",21822245,21937297,7
"ENSG00000219073","CELA3B","protein_coding","1",21977021,21998642,6
"ENSG00000273610","RN7SL386P","misc_RNA","1",21987481,21987777,17
"ENSG00000201919","RNU6-1022P","snRNA","1",21987816,21987919,17
"ENSG00000142789","CELA3A","protein_coding","1",22001656,22012539,19
"ENSG00000278124","RN7SL186P","misc_RNA","1",22010650,22010946,17
"ENSG00000201273","RNU6-776P","snRNA","1",22010985,22011088,17
"ENSG00000070831","CDC42","protein_coding","1",22052627,22092946,3
"ENSG00000162552","WNT4","protein_coding","1",22117305,22143969,6
"ENSG00000184677","ZBTB40","protein_coding","1",22451851,22531157,12
"ENSG00000070886","EPHA8","protein_coding","1",22563564,22603594,12
"ENSG00000173372","C1QA","protein_coding","1",22636506,22639608,13
"ENSG00000159189","C1QC","protein_coding","1",22643630,22648110,12
"ENSG00000173369","C1QB","protein_coding","1",22652762,22661538,13
"ENSG00000133216","EPHB2","protein_coding","1",22710839,22921500,12
"ENSG00000215906","LACTBL1","protein_coding","1",22953043,22965338,1
"ENSG00000227868","TEX46","protein_coding","1",23010834,23015850,15
"ENSG00000004487","KDM1A","protein_coding","1",23019443,23083689,1
"ENSG00000263793","MIR3115","miRNA","1",23044305,23044372,17
"ENSG00000169641","LUZP1","protein_coding","1",23084023,23177808,13
"ENSG00000206935","RNU6-514P","snRNA","1",23162704,23162810,17
"ENSG00000252578","RNU6-135P","snRNA","1",23163953,23164053,13
"ENSG00000179546","HTR1D","protein_coding","1",23191895,23194729,12
"ENSG00000125944","HNRNPR","protein_coding","1",23303771,23344336,2
"ENSG00000125945","ZNF436","protein_coding","1",23359448,23369442,15
"ENSG00000204219","TCEA3","protein_coding","1",23381061,23424740,1
"ENSG00000088280","ASAP3","protein_coding","1",23428563,23484568,1
"ENSG00000007968","E2F2","protein_coding","1",23506430,23531220,1
"ENSG00000117318","ID3","protein_coding","1",23557918,23559794,12
"ENSG00000197880","MDS2","lincRNA","1",23581495,23640568,19
"ENSG00000142676","RPL11","protein_coding","1",23691742,23696835,1
"ENSG00000011007","ELOA","protein_coding","1",23743155,23762059,6
"ENSG00000057757","PITHD1","protein_coding","1",23778405,23788232,1
"ENSG00000011009","LYPLA2","protein_coding","1",23790970,23795539,1
"ENSG00000117308","GALE","protein_coding","1",23795599,23800804,1
"ENSG00000117305","HMGCL","protein_coding","1",23801885,23838620,1
"ENSG00000179163","FUCA1","protein_coding","1",23845077,23868294,1
"ENSG00000188822","CNR2","protein_coding","1",23870526,23913362,9
"ENSG00000189266","PNRC2","protein_coding","1",23959109,23963462,12
"ENSG00000188529","SRSF10","protein_coding","1",23964804,23980927,2
"ENSG00000142661","MYOM3","protein_coding","1",24056035,24112175,12
"ENSG00000142677","IL22RA1","protein_coding","1",24119771,24143121,14
"ENSG00000185436","IFNLR1","protein_coding","1",24154157,24187959,14
"ENSG00000158055","GRHL3","protein_coding","1",24319322,24364482,3
"ENSG00000001460","STPG1","protein_coding","1",24356999,24416934,6
"ENSG00000001461","NIPAL3","protein_coding","1",24415794,24472976,12
"ENSG00000117602","RCAN3","protein_coding","1",24502351,24541040,12
"ENSG00000184454","NCMAP","protein_coding","1",24556111,24609328,13
"ENSG00000133226","SRRM1","protein_coding","1",24631716,24673267,2
"ENSG00000169504","CLIC4","protein_coding","1",24745357,24844324,12
"ENSG00000238482","RNU6-1208P","snRNA","1",24777873,24777979,17
"ENSG00000020633","RUNX3","protein_coding","1",24899511,24965121,7
"ENSG00000278034","MIR6731","miRNA","1",24919345,24919416,19
"ENSG00000117614","SYF2","protein_coding","1",25222679,25232502,2
"ENSG00000117616","RSRP1","protein_coding","1",25242237,25338213,12
"ENSG00000187010","RHD","protein_coding","1",25272393,25330445,1
"ENSG00000183726","TMEM50A","protein_coding","1",25337917,25362361,2
"ENSG00000188672","RHCE","protein_coding","1",25362249,25430192,1
"ENSG00000204178","MACO1","protein_coding","1",25430858,25500209,7
"ENSG00000157978","LDLRAP1","protein_coding","1",25543580,25568886,6
"ENSG00000117643","MAN1C1","protein_coding","1",25617468,25786207,1
"ENSG00000162430","SELENON","protein_coding","1",25800176,25818224,6
"ENSG00000117640","MTFR1L","protein_coding","1",25818640,25832942,12
"ENSG00000127423","AUNIP","protein_coding","1",25831913,25859458,15
"ENSG00000182749","PAQR7","protein_coding","1",25861210,25871253,1
"ENSG00000117632","STMN1","protein_coding","1",25884181,25906991,12
"ENSG00000283938","MIR3917","miRNA","1",25906362,25906454,19
